min_sample_size,coherence,n_valid_topics,n_outlier_docs,outlier_percentage
4,0.5187183114291718,19,223,26.390532544378697
5,0.5435173472596728,16,307,36.33136094674556
6,0.5542096465987196,15,347,41.06508875739645
7,0.5865239617375816,5,24,2.8402366863905324
8,0.5865239617375816,5,31,3.6686390532544375
9,0.5865239617375816,5,31,3.6686390532544375
10,0.5865239617375816,5,38,4.497041420118343
