min_topic_size,coherence,n_valid_topics,n_outlier_docs,outlier_percentage
5,0.5332374001368754,30,286,33.84615384615385
10,0.5510603506206437,20,319,37.751479289940825
15,0.5865239617375816,5,24,2.8402366863905324
20,0.5865239617375816,5,24,2.8402366863905324
25,0.5865239617375816,5,24,2.8402366863905324
30,0.5849885555667611,3,76,8.994082840236686
35,0.5849885555667611,3,76,8.994082840236686
