num_neighbors,coherence,n_valid_topics,n_outlier_docs,outlier_percentage
5,0.48343199881171256,6,77,9.112426035502958
10,0.5865239617375816,5,24,2.8402366863905324
15,0.5492649004989453,9,277,32.781065088757394
20,0.5474269203414832,9,200,23.668639053254438
25,0.4984645241447311,8,199,23.550295857988164
30,0.5445089786865943,8,263,31.124260355029588
35,0.0,2,2,0.2366863905325444
