config_name,min_topic_size,min_samples,n_neighbors,mean_similarity,std_similarity,stability_tier,elapsed_time,pairwise_similarities
Config_3,15,7,15,0.07311465930834951,0.01633248118126591,POOR,82.4202618598938,"[0.04776647501105706, 0.07066686323652267, 0.07108457418054939, 0.07675438596491227, 0.10187232787851984, 0.10621529313479779, 0.07157599882058087, 0.056286549707602336, 0.10572386849476634, 0.0695734434124527, 0.03691520467836257, 0.08870829033367733, 0.06877794977640178, 0.09900670794633643, 0.09485724114207086, 0.07688338493292053, 0.06176900584795321, 0.07701491329245835, 0.07402390780873752, 0.048408057179987, 0.05872319688109161, 0.06113595535680158, 0.05699066907464741, 0.08114035087719297, 0.08762792397660818, 0.07593739250085998, 0.0733068253101034, 0.05091159270725834, 0.06920794633642931, 0.054695562435500514, 0.07286291709666323, 0.06585397316821465, 0.09083677330581355, 0.051234090127278975, 0.05043859649122807, 0.08030977857440298, 0.08380406640957398, 0.10002794977640178, 0.06720619919251172, 0.08813571596690384, 0.07572239422084623, 0.0764398095341553, 0.08303233574131406, 0.05901815943367189, 0.0716750515995872]"
Config_9,15,6,20,0.0731093073114529,0.014386408987495849,POOR,94.62092781066895,"[0.04887054236899438, 0.050751060658181385, 0.07085769980506822, 0.06773879142300195, 0.10342277261781908, 0.09126820318770784, 0.07460153652104116, 0.07475633528265108, 0.07996216030271759, 0.08246760692581126, 0.05153078775369797, 0.09026487788097695, 0.07826510721247562, 0.10255704621029697, 0.09072354087833964, 0.08246760692581126, 0.06588693957115009, 0.07372291021671826, 0.07236083287804285, 0.048159614723082216, 0.05785224306440842, 0.05544426232825432, 0.05894494020518423, 0.0737390350877193, 0.07572239422084623, 0.09128289473684209, 0.08182834537323702, 0.05372807017543859, 0.07615239078087375, 0.070734434124527, 0.06857686314980067, 0.06467148262813897, 0.07895748598717092, 0.048220320119791986, 0.05372807017543859, 0.08139357107365365, 0.08482876581431792, 0.08891373313457936, 0.06183350533195734, 0.09348602988953865, 0.07023277147116155, 0.08147897316821465, 0.08731319038336581, 0.06548847609219126, 0.06473060715514276]"
Config_1,15,4,20,0.07274692705718684,0.016653012779863176,POOR,88.50170516967773,"[0.052395080839353285, 0.057813037495700034, 0.05893819516110536, 0.06350511695906433, 0.12057103543171654, 0.09250838493292053, 0.06877794977640178, 0.06679459064327485, 0.08476844685242518, 0.06857686314980067, 0.05503955968352252, 0.07545680811024101, 0.08743600639430177, 0.09702745907444506, 0.0827414557154131, 0.06548088791760254, 0.06507618527287076, 0.08782823070748766, 0.07236083287804285, 0.038183694530443756, 0.06473218802484873, 0.0478156174750602, 0.055504967724964084, 0.08012606487383395, 0.08466918931315215, 0.10126705653021444, 0.08292626992317394, 0.06634560256851278, 0.06992317394794174, 0.05893819516110537, 0.07511281086221898, 0.07195613023331106, 0.08280216111212287, 0.048220320119791986, 0.05056759545923633, 0.08959770427099742, 0.07800615372854795, 0.10231388737125396, 0.060688356598410376, 0.09595612123991897, 0.06782816325704688, 0.08307986167689607, 0.07430340557275542, 0.05528800214042731, 0.06436289686153099]"
Config_2,16,4,20,0.07267227342210311,0.01728205452245961,POOR,94.31520247459412,"[0.04874011007911937, 0.057813037495700034, 0.05893819516110536, 0.06350511695906433, 0.12057103543171654, 0.09250838493292053, 0.06877794977640178, 0.0712475633528265, 0.0855639404884761, 0.0695734434124527, 0.05153078775369797, 0.08382782937736498, 0.08924578603371172, 0.09206226350189198, 0.0842578259373925, 0.07070290104345832, 0.062199002407980736, 0.08782823070748766, 0.07236083287804285, 0.038183694530443756, 0.061636212792650594, 0.0478156174750602, 0.06290563008829263, 0.06256449948400412, 0.08466918931315215, 0.09775828460038988, 0.08292626992317394, 0.06634560256851278, 0.058158468065588796, 0.05542942323128082, 0.07511281086221898, 0.06198021004067261, 0.08280216111212287, 0.05464969613576424, 0.05043859649122807, 0.09744733806835428, 0.0750821771203608, 0.11244696709092993, 0.06548847609219126, 0.08852870353507758, 0.07421167297328286, 0.0884234176126591, 0.07719298245614034, 0.05562005503955968, 0.06117991056071551]"
Config_4,16,7,15,0.07231137067129212,0.01634577990092408,POOR,87.34276986122131,"[0.04776647501105706, 0.07066686323652267, 0.05847953216374267, 0.07675438596491227, 0.10187232787851984, 0.10245589463855719, 0.07157599882058087, 0.06095508378790112, 0.0977873605582584, 0.0695734434124527, 0.03691520467836257, 0.08870829033367733, 0.06877794977640178, 0.08840729274165807, 0.09485724114207086, 0.08368961619735614, 0.06176900584795321, 0.07408840729274166, 0.07402390780873752, 0.048408057179987, 0.06277412280701754, 0.05821197874861445, 0.06513219322816845, 0.0727984176126591, 0.07974286205710354, 0.07739400584795322, 0.07459902820777434, 0.04714912280701754, 0.06648975379625534, 0.04824561403508772, 0.07286291709666323, 0.051965084279325766, 0.09083677330581355, 0.0585532458597474, 0.04714912280701754, 0.08147897316821465, 0.0855358712685854, 0.11055825839107572, 0.06548847609219126, 0.08382782937736498, 0.07108457418054939, 0.07974286205710354, 0.08737530099759203, 0.06350511695906433, 0.0739778367487346]"
Config_8,14,4,20,0.07205585301462908,0.016400849614062234,POOR,97.60190176963806,"[0.052395080839353285, 0.057813037495700034, 0.05893819516110536, 0.06350511695906433, 0.12057103543171654, 0.09250838493292053, 0.06877794977640178, 0.07008406432748537, 0.08476844685242518, 0.06857686314980067, 0.05503955968352252, 0.07930148323519294, 0.08743600639430177, 0.09702745907444506, 0.0827414557154131, 0.07201683563002083, 0.06507618527287076, 0.09133700263731222, 0.07059185631778103, 0.0397045244690674, 0.06653630981478463, 0.04808317089018843, 0.055345335015097655, 0.07446182535802871, 0.08856782479073501, 0.10126705653021444, 0.08292626992317394, 0.06634560256851278, 0.07382180942552459, 0.05893819516110537, 0.06720619919251172, 0.06407401372367967, 0.07820204105033828, 0.04846539005465733, 0.04524469067405355, 0.08219384244926041, 0.07800615372854795, 0.09338091961930971, 0.05765393876848986, 0.09595612123991897, 0.06698390857317586, 0.07892586859305126, 0.07342430149447693, 0.05821197874861445, 0.06008007491495623]"
Config_5,14,7,15,0.07186866718006013,0.015093106765698952,POOR,79.71129441261292,"[0.04776647501105706, 0.06648975379625532, 0.07902108211705734, 0.07675438596491227, 0.10187232787851984, 0.10621529313479779, 0.07157599882058087, 0.056286549707602336, 0.10572386849476634, 0.06857686314980067, 0.048564317367814004, 0.0834901556081669, 0.07126813573726702, 0.08664683623707481, 0.0892774034278314, 0.075456808110241, 0.06467148262813897, 0.08183312311279287, 0.07236083287804285, 0.04555247768544167, 0.058406432748538004, 0.0548404033820361, 0.05673425200833687, 0.0796398891966759, 0.0890092879256966, 0.07464262508122156, 0.08266922753506861, 0.051007147498375566, 0.07167283838199882, 0.061460841646600164, 0.06857686314980069, 0.06198021004067261, 0.08549343369958923, 0.051316295351990115, 0.04747162022703818, 0.07723190846052179, 0.08380406640957398, 0.09029927760577915, 0.06720619919251172, 0.08505784585302265, 0.07126813573726704, 0.0764398095341553, 0.06507618527287075, 0.05901815943367189, 0.06436289686153097]"
Config_10,15,5,25,0.07185701828607745,0.015444953910508789,POOR,102.02899622917175,"[0.05198945075106066, 0.0659557390207545, 0.06734892787524366, 0.07163742690058479, 0.0942323128081642, 0.09867561059511525, 0.08161908038069028, 0.05994152046783625, 0.09906547414287353, 0.07167283838199881, 0.04787632287176996, 0.08870829033367733, 0.0786893704850361, 0.0931827839494931, 0.08893340617980938, 0.07201683563002084, 0.05854023756045246, 0.06560314184153193, 0.07724888200894392, 0.048938134810710986, 0.05285087719298245, 0.04863034779932286, 0.06327019972075516, 0.06486611265004616, 0.08668730650154799, 0.08685930512555899, 0.07527806444215113, 0.06405993196498871, 0.06479289342155851, 0.058536865038413016, 0.06628396972824219, 0.0592750257997936, 0.10266167870657034, 0.05854403164774681, 0.05372807017543859, 0.0764398095341553, 0.07451614071297956, 0.10142860033590317, 0.06135824597613745, 0.08438795647529558, 0.07746008620166334, 0.08755182590118227, 0.07774337805297557, 0.05207032027954303, 0.05240899249276594]"
Config_6,15,4,15,0.07115770030075666,0.016036727499786074,POOR,84.95244550704956,"[0.0484806788212361, 0.062057103543171635, 0.05847953216374268, 0.06773879142300195, 0.0999828001375989, 0.10693154454764361, 0.07070290104345832, 0.05994152046783626, 0.0869109047127623, 0.07731338149294806, 0.043859649122807015, 0.0989422084623323, 0.07243292053663569, 0.09126676986584106, 0.09485724114207086, 0.0732284141726866, 0.05525455796353629, 0.07317023816750644, 0.07457095898788364, 0.0451591942820013, 0.05579922027290448, 0.05788709245881588, 0.05673425200833687, 0.07496751137102015, 0.08866529067767456, 0.07593739250086, 0.06636617495295331, 0.04747162022703817, 0.06513689066958052, 0.05159958720330237, 0.07926420799159922, 0.07232994767620805, 0.0789564209802111, 0.06513689066958052, 0.045244690674053546, 0.08295765212825666, 0.08688193652345517, 0.09414395273073109, 0.06099614360979849, 0.09434577154961708, 0.07126813573726704, 0.07613202252276718, 0.07774337805297557, 0.06209602954755309, 0.05275298974078796]"
Config_7,15,5,15,0.07113208441807908,0.015565105410145866,POOR,86.12687659263611,"[0.0484806788212361, 0.0659557390207545, 0.05847953216374268, 0.06773879142300195, 0.0999828001375989, 0.10693154454764361, 0.07070290104345832, 0.05994152046783626, 0.09080954019034516, 0.07731338149294806, 0.043859649122807015, 0.09565273477812178, 0.07243292053663569, 0.09535173718610251, 0.09485724114207086, 0.0732284141726866, 0.05116959064327485, 0.07661021064772658, 0.07164698237969652, 0.048408057179987, 0.05872319688109161, 0.05788709245881588, 0.05673425200833687, 0.06846978557504874, 0.08866529067767456, 0.07903336773305812, 0.07365082255812543, 0.04747162022703817, 0.06513689066958052, 0.05159958720330238, 0.07749493559607078, 0.06692657569850552, 0.08334288881244506, 0.06513689066958052, 0.05068226120857698, 0.07643980953415531, 0.08688193652345517, 0.09414395273073109, 0.06376622671229155, 0.08813571596690384, 0.06473218802484873, 0.07028406930639292, 0.07774337805297557, 0.05901815943367189, 0.05928893745320626]"
