config_name,min_topic_size,min_samples,n_neighbors,mean_similarity,std_similarity,stability_tier,elapsed_time,pairwise_similarities
Config_1,15,5,15,0.07606541458677335,0.013141609937956756,POOR,48.20559000968933,"[0.05570298294756499, 0.08319819155732469, 0.06641604010025062, 0.07641038871689025, 0.08975871050174455, 0.0758268219568529, 0.08327190525332939, 0.06356577718806822, 0.09071698854980588, 0.0810328517371861, 0.04794461644306845, 0.10353779669762642, 0.07980736154110767, 0.09565273477812178, 0.0835268317853457, 0.08870829033367732, 0.059339525283797726, 0.09032190900367534, 0.08081546458739441, 0.05661017869751779, 0.05661017869751778, 0.060018467220683276, 0.07780408344968534, 0.08572773523074972, 0.06676413255360623, 0.07759401082686075, 0.0699762822950048, 0.08313417703184689, 0.05860094295716223, 0.07576992015642822, 0.08157990291633223, 0.07673049726713296, 0.09125482551695142, 0.07930148323519293, 0.06373504567519014, 0.07884779027030941, 0.07323067731247623, 0.08239745846739108, 0.061611717632574725, 0.091575688447124, 0.08933810882454118, 0.07495700034399724, 0.09908132499645886, 0.056940597106802084, 0.05819624031243043]"
Config_10,20,6,15,0.0696532316630356,0.01431650984306062,POOR,49.40493440628052,"[0.05570298294756499, 0.0806012013442354, 0.05038236617183985, 0.08086085311317509, 0.08877586122168166, 0.06853483633669391, 0.06648975379625534, 0.06356577718806822, 0.08780529755761952, 0.07761107141912095, 0.04138551506972559, 0.06986010778580437, 0.05897095680377413, 0.06088751289989681, 0.07115828787655412, 0.09017642144577129, 0.05458089668615984, 0.08919451721309307, 0.07647488820089439, 0.06961313540260908, 0.05136143526236406, 0.07160435024212114, 0.07348310444285677, 0.08293200321064098, 0.059540190345143906, 0.07112143102855178, 0.063957026805324, 0.07303326188775104, 0.04138551506972559, 0.06977410847379888, 0.06079434697855749, 0.058966861598440536, 0.09431257883270266, 0.08886595573902077, 0.04434697855750488, 0.07708184488370248, 0.05764411027568921, 0.06273035530001474, 0.06596147230822154, 0.08220872694556905, 0.08255933952528378, 0.07911936704506363, 0.1048577325667109, 0.05409356725146199, 0.060027519779841755]"
Config_4,20,5,15,0.06911147799950688,0.013935160144057808,POOR,48.10114789009094,"[0.05570298294756499, 0.07484397267679001, 0.05472013366750209, 0.08086085311317509, 0.0808393532851737, 0.06853483633669391, 0.06648975379625534, 0.06356577718806822, 0.08780529755761952, 0.07206742346061232, 0.04309794093075826, 0.06986010778580437, 0.05806182121971594, 0.06088751289989681, 0.07115828787655412, 0.09017642144577129, 0.05458089668615984, 0.09075998820580865, 0.08086085311317509, 0.05670426065162907, 0.05945860125426688, 0.061821219715956555, 0.0719937097646076, 0.08780529755761955, 0.059540190345143885, 0.06513219322816846, 0.06898467889179961, 0.0719937097646076, 0.04309794093075826, 0.07416007338607956, 0.06566764132553606, 0.058966861598440536, 0.09431257883270266, 0.08886595573902077, 0.04434697855750488, 0.06853483633669392, 0.05764411027568921, 0.06273035530001474, 0.06051484921453961, 0.08220872694556905, 0.08255933952528378, 0.07911936704506363, 0.1048577325667109, 0.05409356725146199, 0.060027519779841755]"
Config_7,20,5,20,0.06906804467175984,0.013718185118768203,POOR,48.74081110954285,"[0.05939685815846807, 0.08060120134423537, 0.06440686936042973, 0.0746407874890847, 0.08459875178141432, 0.06363949088407292, 0.06244696709092993, 0.06898467889179963, 0.08341933264533884, 0.0821094969701781, 0.05496017570320976, 0.06898467889179963, 0.06273035530001474, 0.08926728586171313, 0.059006994610709775, 0.08750760763144663, 0.060027519779841755, 0.08398825117091371, 0.06493609589584823, 0.06961313540260908, 0.06800560980127543, 0.07250403535233257, 0.06654362149718188, 0.05409356725146199, 0.05496017570320976, 0.08318779603609325, 0.06448625334074251, 0.0644862533407425, 0.037866158609192666, 0.0839066620800367, 0.06061628430049482, 0.05038236617183985, 0.09836998227091107, 0.07348310444285677, 0.05466689599816534, 0.08042164234114699, 0.05764411027568921, 0.06800560980127543, 0.060514849214539625, 0.07526168362081676, 0.08758699161175941, 0.069286779039101, 0.1014858034981874, 0.045321637426900575, 0.04970760233918128]"
Config_8,20,4,15,0.06884938345808658,0.014069625973072227,POOR,48.724101543426514,"[0.05570298294756499, 0.07484397267679001, 0.05096073517126149, 0.08086085311317509, 0.08083935328517373, 0.06853483633669391, 0.06648975379625534, 0.06356577718806822, 0.08780529755761952, 0.07206742346061232, 0.04309794093075826, 0.06986010778580437, 0.054302422723475345, 0.06088751289989681, 0.07115828787655412, 0.0855078873654725, 0.05458089668615984, 0.08700058970956805, 0.08086085311317509, 0.05670426065162907, 0.05945860125426688, 0.05769980506822612, 0.0757531082608482, 0.09219126246990024, 0.059540190345143885, 0.0655499041721952, 0.0649360958958482, 0.0719937097646076, 0.04309794093075826, 0.07416007338607959, 0.06566764132553606, 0.058966861598440536, 0.09431257883270266, 0.08886595573902077, 0.04434697855750488, 0.06853483633669392, 0.05764411027568921, 0.06648975379625535, 0.06051484921453961, 0.08220872694556905, 0.08255933952528378, 0.07911936704506363, 0.1048577325667109, 0.05409356725146199, 0.060027519779841755]"
Config_5,20,7,10,0.06671293539112597,0.014332614994975991,POOR,47.66322588920593,"[0.05593924479373396, 0.06395702680532402, 0.05541001825831547, 0.08416686512661745, 0.07348310444285677, 0.05409356725146199, 0.059008758699161175, 0.06898467889179963, 0.07017543859649122, 0.08713714905665369, 0.042606516290726815, 0.07993021770111554, 0.0659557390207545, 0.06490081412682032, 0.07421167297328288, 0.09344439530198044, 0.04944178628389154, 0.07903998306475088, 0.06943452144690536, 0.053981106612685556, 0.06547414287352366, 0.0635071842502183, 0.06845545235638115, 0.06379585326953748, 0.051034448867266206, 0.06872573590839845, 0.06547414287352367, 0.05946238144380559, 0.03842940685045948, 0.07674265878600245, 0.06798245614035088, 0.06490081412682032, 0.08418104083738757, 0.06732517568430882, 0.04837852206273259, 0.09012011237243435, 0.05043859649122807, 0.07024915229249595, 0.05591518904212403, 0.08293200321064098, 0.08943928448572412, 0.06485911749069642, 0.1048577325667109, 0.044657097288676235, 0.04944178628389154]"
Config_6,20,7,10,0.06671293539112597,0.014332614994975991,POOR,46.977134227752686,"[0.05593924479373396, 0.06395702680532402, 0.05541001825831547, 0.08416686512661745, 0.07348310444285677, 0.05409356725146199, 0.059008758699161175, 0.06898467889179963, 0.07017543859649122, 0.08713714905665369, 0.042606516290726815, 0.07993021770111554, 0.0659557390207545, 0.06490081412682032, 0.07421167297328288, 0.09344439530198044, 0.04944178628389154, 0.07903998306475088, 0.06943452144690536, 0.053981106612685556, 0.06547414287352366, 0.0635071842502183, 0.06845545235638115, 0.06379585326953748, 0.051034448867266206, 0.06872573590839845, 0.06547414287352367, 0.05946238144380559, 0.03842940685045948, 0.07674265878600245, 0.06798245614035088, 0.06490081412682032, 0.08418104083738757, 0.06732517568430882, 0.04837852206273259, 0.09012011237243435, 0.05043859649122807, 0.07024915229249595, 0.05591518904212403, 0.08293200321064098, 0.08943928448572412, 0.06485911749069642, 0.1048577325667109, 0.044657097288676235, 0.04944178628389154]"
Config_9,25,8,10,0.06554402037718171,0.016773428358849853,POOR,48.70332622528076,"[0.031189083820662766, 0.0654970760233918, 0.07203302373581011, 0.08679480564155488, 0.06986010778580438, 0.04891015417331206, 0.05515422543286321, 0.05515422543286321, 0.06539074960127592, 0.09095287237702099, 0.03742690058479532, 0.0796066964797615, 0.04922027290448342, 0.055383556931544536, 0.0796066964797615, 0.08505331957344342, 0.044657097288676235, 0.08568971448228416, 0.08441692466460268, 0.06023391812865497, 0.038011695906432746, 0.06618507051943585, 0.06676986584107328, 0.07134502923976609, 0.0766081871345029, 0.08510491916064672, 0.060921912624698996, 0.07144822841417268, 0.038011695906432746, 0.09304265565875473, 0.056117858749437685, 0.07080088813834945, 0.09975920192638459, 0.05990844380937261, 0.04837852206273259, 0.07757919754823779, 0.06286549707602339, 0.044984255510571294, 0.05591518904212403, 0.08152734778121774, 0.07621102667542295, 0.06485911749069642, 0.08679480564155488, 0.044657097288676235, 0.04944178628389154]"
Config_2,25,7,10,0.06510299737337921,0.01703027478761172,POOR,47.56301951408386,"[0.031189083820662766, 0.05954279638490165, 0.07203302373581011, 0.08679480564155488, 0.07473340213278294, 0.04891015417331206, 0.05515422543286321, 0.05515422543286321, 0.06539074960127592, 0.08746911842887074, 0.03742690058479532, 0.0796066964797615, 0.05360623781676412, 0.055383556931544536, 0.0796066964797615, 0.08505331957344342, 0.044657097288676235, 0.08568971448228416, 0.08800075053945024, 0.04944178628389154, 0.03455608718766613, 0.06495293492197515, 0.06069987803733934, 0.06964380648591174, 0.0766081871345029, 0.08510491916064672, 0.060921912624698996, 0.07144822841417268, 0.038011695906432746, 0.09304265565875473, 0.056117858749437685, 0.07080088813834945, 0.09975920192638459, 0.05990844380937261, 0.04837852206273259, 0.07757919754823779, 0.06286549707602339, 0.044984255510571294, 0.05591518904212403, 0.08152734778121774, 0.07621102667542295, 0.06485911749069642, 0.08679480564155488, 0.044657097288676235, 0.04944178628389154]"
Config_3,25,7,10,0.06510299737337921,0.01703027478761172,POOR,47.75387644767761,"[0.031189083820662766, 0.05954279638490165, 0.07203302373581011, 0.08679480564155488, 0.07473340213278294, 0.04891015417331206, 0.05515422543286321, 0.05515422543286321, 0.06539074960127592, 0.08746911842887074, 0.03742690058479532, 0.0796066964797615, 0.05360623781676412, 0.055383556931544536, 0.0796066964797615, 0.08505331957344342, 0.044657097288676235, 0.08568971448228416, 0.08800075053945024, 0.04944178628389154, 0.03455608718766613, 0.06495293492197515, 0.06069987803733934, 0.06964380648591174, 0.0766081871345029, 0.08510491916064672, 0.060921912624698996, 0.07144822841417268, 0.038011695906432746, 0.09304265565875473, 0.056117858749437685, 0.07080088813834945, 0.09975920192638459, 0.05990844380937261, 0.04837852206273259, 0.07757919754823779, 0.06286549707602339, 0.044984255510571294, 0.05591518904212403, 0.08152734778121774, 0.07621102667542295, 0.06485911749069642, 0.08679480564155488, 0.044657097288676235, 0.04944178628389154]"
