source,target,endpoints
Topic_0,Topic_1,1--1
Topic_0,Topic_2,1--1
Topic_0,Topic_5,1--1
Topic_0,Topic_7,1--2
Topic_0,Topic_8,1--1
Topic_1,Topic_2,1--1
Topic_1,Topic_5,1--1
Topic_1,Topic_6,1--2
Topic_1,Topic_8,2--1
Topic_2,Topic_4,1--1
Topic_2,Topic_6,1--1
Topic_2,Topic_8,2--1
Topic_3,Topic_8,2--1
Topic_4,Topic_5,1--1
Topic_4,Topic_8,2--1
Topic_5,Topic_6,1--1
Topic_5,Topic_7,1--2
Topic_5,Topic_8,1--1
Topic_6,Topic_8,2--1
