num_topics,alpha,coherence_cv,perplexity_log
6,0.01,0.48701454672353117,-7.302325751095697
6,0.1,0.4900959842608669,-7.266724949874996
6,0.3,0.4978803651437242,-7.259600279463343
6,0.5,0.49901029566867144,-7.264164922889235
6,0.7,0.4924936641879263,-7.269586041630523
6,0.9,0.5097522926384647,-7.2752654774552745
6,1.1,0.5087603453868318,-7.280154874954481
6,symmetric,0.4936399671439821,-7.262355862191696
6,asymmetric,0.48809688206380536,-7.272694546494273
7,0.01,0.5192961953599939,-7.315644022856424
7,0.1,0.5196365020715085,-7.278525221517827
7,0.3,0.5180051807533522,-7.266005716828079
7,0.5,0.5322061551108691,-7.263316812016426
7,0.7,0.475528432244853,-7.2670385462455265
7,0.9,0.4741607388572455,-7.270543372214377
7,1.1,0.45535302439219577,-7.276112631761683
7,symmetric,0.514486564463915,-7.275372067190658
7,asymmetric,0.5210922129890421,-7.273985472254836
8,0.01,0.5077230550332202,-7.374611664167967
8,0.1,0.5233517396275713,-7.324259946727482
8,0.3,0.530838507958665,-7.297439260439386
8,0.5,0.5041292022765266,-7.290678260679473
8,0.7,0.4751361440157248,-7.297612047507465
8,0.9,0.4592120095682194,-7.305019987443896
8,1.1,0.46142214629461786,-7.3132111975572
8,symmetric,0.5219611673883272,-7.318951829569651
8,asymmetric,0.4596713362852999,-7.313204529981087
9,0.01,0.5423847956669285,-7.421601928173297
9,0.1,0.5385868982844301,-7.373814956359042
9,0.3,0.593158924790805,-7.361217418890121
9,0.5,0.5658901375430859,-7.361545518281966
9,0.7,0.5346525012241385,-7.3670880776766
9,0.9,0.5178898907754932,-7.372727100769008
9,1.1,0.49538733453913153,-7.373902307635818
9,symmetric,0.5415920112283061,-7.372145980048052
9,asymmetric,0.5542187076647654,-7.367927081716527
11,0.01,0.5024930420885952,-7.708832735991601
11,0.1,0.4954451082872671,-7.657319040768955
11,0.3,0.5050937143510431,-7.6449415019728635
11,0.5,0.4767072527168202,-7.645073412050142
11,0.7,0.48536825784572585,-7.657172343929659
11,0.9,0.48768170825502466,-7.65560828374407
11,1.1,0.5005832560746569,-7.654691179004545
11,symmetric,0.501342333088366,-7.658274628069825
11,asymmetric,0.5034283884301175,-7.6695925309001645
12,0.01,0.5277319763446281,-7.985520668945929
12,0.1,0.5412314006434897,-7.925925757177331
12,0.3,0.5222119107473137,-7.9252413316081265
12,0.5,0.5047202210326943,-7.910863089492376
12,0.7,0.49731505689859823,-7.9174312271776115
12,0.9,0.4858303015126546,-7.920281889102139
12,1.1,0.4875355063383919,-7.927272800906747
12,symmetric,0.5344571102059544,-7.929483766541533
12,asymmetric,0.5165943703351367,-7.937692071005446
