num_neighbors,coherence,n_valid_topics,n_outlier_docs,outlier_percentage
5,0.5366806314112367,18,809,25.954443375040103
10,0.5126891152369383,8,608,19.50593519409689
15,0.41830240087565035,7,611,19.602181584857234
20,0.5079887011551628,13,871,27.94353545075393
25,0.6072277792878898,7,530,17.00352903432788
30,0.5824275927484837,10,710,22.778312479948667
