min_sample_size,coherence,n_valid_topics,n_outlier_docs,outlier_percentage
5,0.48820360012237957,25,645,20.692974013474494
6,0.48219801900955916,25,696,22.329162656400385
7,0.5648307778728524,18,560,17.965992941931344
8,0.573062560131483,16,530,17.00352903432788
9,0.56375900930034,16,503,16.13731151748476
10,0.5603296884827036,16,558,17.901828681424448
