min_topic_size,coherence,n_valid_topics,n_outlier_docs,outlier_percentage
10,0.0,61,840,26.948989412897017
20,0.510719353097415,32,779,24.991979467436636
30,0.573062560131483,16,530,17.00352903432788
40,0.5707478634975307,14,450,14.436958614051973
50,0.5540053181487543,13,420,13.474494706448509
